,time,runtime,pipeline,default_hp,accuracy,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1723210402.760582,0.6343851089477539,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.9438,True,"{'accuracy': [0.934640522875817, 0.9607843137254902, 0.9150326797385621, 0.9477124183006536, 0.9607843137254902]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1723210404.8715572,2.110074043273926,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.9203,False,"{'accuracy': [0.8954248366013072, 0.9215686274509803, 0.9477124183006536, 0.9084967320261438, 0.9281045751633987]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1723210418.781278,13.908474206924438,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.9255,False,"{'accuracy': [0.9411764705882353, 0.9281045751633987, 0.9019607843137255, 0.9084967320261438, 0.9477124183006536]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1723210418.819354,0.03743720054626465,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.8366,False,"{'accuracy': [0.803921568627451, 0.8627450980392157, 0.8300653594771242, 0.8300653594771242, 0.8562091503267973]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1723210419.744972,0.9249799251556396,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.8549,False,"{'accuracy': [0.8888888888888888, 0.8366013071895425, 0.8169934640522876, 0.8496732026143791, 0.8823529411764706]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1723210419.7674408,0.022124052047729492,"Pipeline(steps=[('learner', GaussianNB())])",True,0.6078,False,"{'accuracy': [0.6143790849673203, 0.6209150326797386, 0.5751633986928104, 0.6143790849673203, 0.6143790849673203]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1723210419.95805,0.1901102066040039,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.7804,False,"{'accuracy': [0.803921568627451, 0.7320261437908496, 0.7973856209150327, 0.7777777777777778, 0.7908496732026143]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1723210423.2479842,3.28800106048584,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.617,False,"{'accuracy': [0.5816993464052288, 0.673202614379085, 0.6209150326797386, 0.6013071895424836, 0.6078431372549019]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1723210424.7787662,1.5303330421447754,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.566,False,"{'accuracy': [0.5294117647058824, 0.5620915032679739, 0.5882352941176471, 0.5620915032679739, 0.5882352941176471]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1723210440.470471,15.69070315361023,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.7869,False,"{'accuracy': [0.7516339869281046, 0.7777777777777778, 0.8235294117647058, 0.7712418300653595, 0.8104575163398693]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1723210442.3164349,1.8446710109710693,"Pipeline(steps=[('learner', SVC())])",True,0.5569,False,"{'accuracy': [0.5816993464052288, 0.5359477124183006, 0.5490196078431373, 0.5751633986928104, 0.5424836601307189]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1723210444.2346199,1.9166967868804932,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.5111,False,"{'accuracy': [0.5163398692810458, 0.5032679738562091, 0.5163398692810458, 0.5098039215686274, 0.5098039215686274]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1723210445.8746848,1.6386001110076904,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.5451,False,"{'accuracy': [0.5490196078431373, 0.5620915032679739, 0.49019607843137253, 0.5490196078431373, 0.5751633986928104]}",ok,,,,,,sklearn.svm._classes.SVC,
13,1723210449.42258,3.54626727104187,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.7451,False,"{'accuracy': [0.7973856209150327, 0.6928104575163399, 0.7124183006535948, 0.7516339869281046, 0.7712418300653595]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
14,1723210449.429753,0.006661891937255859,"Pipeline(steps=[('learner', MultinomialNB())])",True,,False,,exception,"Traceback (most recent call last):
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/commons.py"", line 168, in evaluate
    scores, evaluation_report = self.evaluation_fun(pl, self.X, self.y, [self.scoring] + self.side_scores)
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 95, in __call__
    scores = self.evaluate_splits(
             ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 121, in evaluate_splits
    split_results = self.evaluate_split(
                    ^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 142, in evaluate_split
    pl_copy.fit(X_train, y_train)
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/pipeline.py"", line 475, in fit
    self._final_estimator.fit(Xt, y, **last_step_params[""fit""])
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/naive_bayes.py"", line 759, in fit
    self._count(X, Y)
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/naive_bayes.py"", line 881, in _count
    check_non_negative(X, ""MultinomialNB (input X)"")
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/utils/validation.py"", line 1572, in check_non_negative
    raise ValueError(""Negative values in data passed to %s"" % whom)
ValueError: Negative values in data passed to MultinomialNB (input X)
",,,,,sklearn.naive_bayes.MultinomialNB,
15,1723210449.4316201,0.0014231204986572266,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.MinMaxScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
16,1723210450.070812,0.6382181644439697,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', ExtraTreesClassifier())])",True,0.915,False,"{'accuracy': [0.8823529411764706, 0.9215686274509803, 0.934640522875817, 0.9084967320261438, 0.9281045751633987]}",ok,,sklearn.preprocessing._data.Normalizer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
17,1723210450.072135,0.0009500980377197266,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.PowerTransformer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
18,1723210450.073664,0.0011341571807861328,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.QuantileTransformer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
19,1723210450.0750809,0.0009989738464355469,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.RobustScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
20,1723210450.076444,0.001050710678100586,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.StandardScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
21,1723210450.663229,0.5864779949188232,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', ExtraTreesClassifier())])",True,0.9373,False,"{'accuracy': [0.934640522875817, 0.9477124183006536, 0.9673202614379085, 0.9281045751633987, 0.9084967320261438]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
22,1723210894.285321,443.62141489982605,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', ExtraTreesClassifier())])",True,0.5098,False,"{'accuracy': [0.5032679738562091, 0.5032679738562091, 0.5032679738562091, 0.5359477124183006, 0.5032679738562091]}",ok,,,,sklearn.decomposition._fastica.FastICA,,sklearn.ensemble._forest.ExtraTreesClassifier,
23,1723210896.092691,1.8065640926361084,"Pipeline(steps=[('feature-pre-processor', FeatureAgglomeration()),
                ('learner', ExtraTreesClassifier())])",True,0.7046,False,"{'accuracy': [0.7058823529411765, 0.6993464052287581, 0.7254901960784313, 0.7124183006535948, 0.6797385620915033]}",ok,,,,sklearn.cluster._agglomerative.FeatureAgglomeration,,sklearn.ensemble._forest.ExtraTreesClassifier,
24,1723210896.0953338,0.0013561248779296875,"Pipeline(steps=[('feature-pre-processor', KernelPCA()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.decomposition._kernel_pca.KernelPCA,,sklearn.ensemble._forest.ExtraTreesClassifier,
25,1723210896.096713,0.0009720325469970703,"Pipeline(steps=[('feature-pre-processor', RBFSampler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.kernel_approximation.RBFSampler,,sklearn.ensemble._forest.ExtraTreesClassifier,
26,1723210896.098432,0.0010950565338134766,"Pipeline(steps=[('feature-pre-processor', Nystroem()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.kernel_approximation.Nystroem,,sklearn.ensemble._forest.ExtraTreesClassifier,
27,1723210899.5182421,3.419404983520508,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', ExtraTreesClassifier())])",True,0.5908,False,"{'accuracy': [0.6143790849673203, 0.5882352941176471, 0.5620915032679739, 0.6143790849673203, 0.5751633986928104]}",ok,,,,sklearn.decomposition._pca.PCA,,sklearn.ensemble._forest.ExtraTreesClassifier,
28,1723210920.519538,20.998481035232544,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', ExtraTreesClassifier())])",True,0.9216,False,"{'accuracy': [0.9084967320261438, 0.9411764705882353, 0.9215686274509803, 0.9019607843137255, 0.934640522875817]}",ok,,,,sklearn.preprocessing._polynomial.PolynomialFeatures,,sklearn.ensemble._forest.ExtraTreesClassifier,
29,1723210920.842338,0.3219430446624756,"Pipeline(steps=[('feature-pre-processor', SelectPercentile()),
                ('learner', ExtraTreesClassifier())])",True,0.9281,False,"{'accuracy': [0.9281045751633987, 0.9150326797385621, 0.9084967320261438, 0.9411764705882353, 0.9477124183006536]}",ok,,,,sklearn.feature_selection._univariate_selection.SelectPercentile,,sklearn.ensemble._forest.ExtraTreesClassifier,
30,1723210921.091541,0.24858617782592773,"Pipeline(steps=[('feature-pre-processor', GenericUnivariateSelect()),
                ('learner', ExtraTreesClassifier())])",True,0.7451,False,"{'accuracy': [0.738562091503268, 0.7189542483660131, 0.7320261437908496, 0.7581699346405228, 0.7777777777777778]}",ok,,,,sklearn.feature_selection._univariate_selection.GenericUnivariateSelect,,sklearn.ensemble._forest.ExtraTreesClassifier,
31,1723210921.0991008,14.655793905258179,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.5210044182556248,
                                      min_samples_leaf=6, min_samples_split=12,
                                      n_estimators=512, warm_start=True))])",False,0.9307,True,"{'accuracy': [0.9281045751633987, 0.9215686274509803, 0.934640522875817, 0.934640522875817, 0.934640522875817]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.5210044182556248, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 12, 'min_weight_fraction_leaf': 0.0}"
32,1723210935.756356,2.902272939682007,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(bootstrap=True, criterion='entropy',
                                      max_features=0.14261405497867496,
                                      min_samples_leaf=19, min_samples_split=13,
                                      n_estimators=512, warm_start=True))])",False,0.8837,True,"{'accuracy': [0.8954248366013072, 0.8758169934640523, 0.8758169934640523, 0.8823529411764706, 0.8888888888888888]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.14261405497867496, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 19, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.0}"
33,1723210938.66023,8.852291107177734,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(bootstrap=True,
                                      max_features=0.6322448408829089,
                                      min_samples_leaf=14, min_samples_split=3,
                                      n_estimators=512, warm_start=True))])",False,0.8837,True,"{'accuracy': [0.8888888888888888, 0.9019607843137255, 0.8627450980392157, 0.9019607843137255, 0.8627450980392157]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.6322448408829089, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 14, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0}"
34,1723210947.5138838,13.078386068344116,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.5998065182589523,
                                      min_samples_leaf=15, min_samples_split=6,
                                      n_estimators=512, warm_start=True))])",False,0.9268,True,"{'accuracy': [0.9150326797385621, 0.9411764705882353, 0.9150326797385621, 0.9150326797385621, 0.9477124183006536]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.5998065182589523, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0}"
35,1723210960.593577,12.692802906036377,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(bootstrap=True,
                                      max_features=0.8699510518170029,
                                      min_samples_leaf=11, n_estimators=512,
                                      warm_start=True))])",False,0.9033,True,"{'accuracy': [0.9084967320261438, 0.934640522875817, 0.869281045751634, 0.9019607843137255, 0.9019607843137255]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'True', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.8699510518170029, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 11, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}"
36,1723210973.287673,16.20132303237915,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(max_features=0.8719383166377804,
                                      min_samples_leaf=20, n_estimators=512,
                                      warm_start=True))])",False,0.9163,True,"{'accuracy': [0.9019607843137255, 0.934640522875817, 0.9411764705882353, 0.9019607843137255, 0.9019607843137255]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.8719383166377804, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 20, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0}"
