,time,runtime,pipeline,default_hp,accuracy,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1720629659.0790677,0.1991736888885498,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.792,True,"{'accuracy': [0.76, 0.68, 0.92, 0.8, 0.8]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1720629659.4373236,0.35737013816833496,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.808,True,"{'accuracy': [0.72, 0.84, 0.8, 0.96, 0.72]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1720629659.9357512,0.49717044830322266,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.776,False,"{'accuracy': [0.64, 0.92, 0.84, 0.72, 0.76]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1720629659.9456658,0.009388446807861328,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.744,False,"{'accuracy': [0.84, 0.64, 0.68, 0.8, 0.76]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1720629660.004098,0.05781197547912598,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.768,False,"{'accuracy': [0.72, 0.8, 0.88, 0.68, 0.76]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1720629660.0110488,0.006620168685913086,"Pipeline(steps=[('learner', GaussianNB())])",True,0.648,False,"{'accuracy': [0.6, 0.68, 0.68, 0.68, 0.6]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1720629660.0259407,0.014475584030151367,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.704,False,"{'accuracy': [0.76, 0.76, 0.68, 0.64, 0.68]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1720629660.6553993,0.6289920806884766,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.688,False,"{'accuracy': [0.72, 0.64, 0.8, 0.72, 0.56]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1720629660.7460592,0.09010100364685059,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.512,False,"{'accuracy': [0.44, 0.52, 0.36, 0.56, 0.68]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1720629663.9408479,3.1932151317596436,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.632,False,"{'accuracy': [0.56, 0.68, 0.6, 0.6, 0.72]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1720629663.9676194,0.025502681732177734,"Pipeline(steps=[('learner', SVC())])",True,0.536,False,"{'accuracy': [0.56, 0.52, 0.6, 0.52, 0.48]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1720629663.9999104,0.030897855758666992,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.528,False,"{'accuracy': [0.52, 0.52, 0.56, 0.52, 0.52]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1720629664.025618,0.024456501007080078,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.592,False,"{'accuracy': [0.6, 0.52, 0.64, 0.6, 0.6]}",ok,,,,,,sklearn.svm._classes.SVC,
13,1720629665.182666,1.1555805206298828,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.488,False,"{'accuracy': [0.48, 0.56, 0.48, 0.56, 0.36]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
14,1720629665.1865993,0.0031766891479492188,"Pipeline(steps=[('learner', MultinomialNB())])",True,,False,,exception,"Traceback (most recent call last):
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/commons.py"", line 168, in evaluate
    scores, evaluation_report = self.evaluation_fun(pl, self.X, self.y, [self.scoring] + self.side_scores)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 95, in __call__
    scores = self.evaluate_splits(
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 121, in evaluate_splits
    split_results = self.evaluate_split(
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 142, in evaluate_split
    pl_copy.fit(X_train, y_train)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/pipeline.py"", line 475, in fit
    self._final_estimator.fit(Xt, y, **last_step_params[""fit""])
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/naive_bayes.py"", line 759, in fit
    self._count(X, Y)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/naive_bayes.py"", line 881, in _count
    check_non_negative(X, ""MultinomialNB (input X)"")
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/utils/validation.py"", line 1572, in check_non_negative
    raise ValueError(""Negative values in data passed to %s"" % whom)
ValueError: Negative values in data passed to MultinomialNB (input X)
",,,,,sklearn.naive_bayes.MultinomialNB,
15,1720629665.1887083,0.0016884803771972656,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', RandomForestClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.MinMaxScaler,,,,sklearn.ensemble._forest.RandomForestClassifier,
16,1720629665.576697,0.38756632804870605,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', RandomForestClassifier())])",True,0.76,False,"{'accuracy': [0.8, 0.6, 0.76, 0.8, 0.84]}",ok,,sklearn.preprocessing._data.Normalizer,,,,sklearn.ensemble._forest.RandomForestClassifier,
17,1720629665.5780897,0.0010030269622802734,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', RandomForestClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.PowerTransformer,,,,sklearn.ensemble._forest.RandomForestClassifier,
18,1720629665.5797982,0.001272439956665039,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', RandomForestClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.QuantileTransformer,,,,sklearn.ensemble._forest.RandomForestClassifier,
