,time,runtime,pipeline,default_hp,accuracy,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1720684586.7305574,0.19360566139221191,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.8,True,"{'accuracy': [0.9, 0.95, 0.85, 0.55, 0.75]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1720684587.084394,0.35298991203308105,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.8,False,"{'accuracy': [0.85, 0.8, 0.75, 0.75, 0.85]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1720684587.9311285,0.8456394672393799,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.96,True,"{'accuracy': [0.95, 0.95, 0.95, 0.95, 1.0]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1720684587.942837,0.011121988296508789,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.7,False,"{'accuracy': [0.7, 0.75, 0.65, 0.75, 0.65]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1720684588.013736,0.07028627395629883,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.83,False,"{'accuracy': [0.85, 0.8, 0.9, 0.8, 0.8]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1720684588.0202615,0.0062868595123291016,"Pipeline(steps=[('learner', GaussianNB())])",True,0.46,False,"{'accuracy': [0.55, 0.45, 0.5, 0.4, 0.4]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1720684588.0406544,0.020053863525390625,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.77,False,"{'accuracy': [0.95, 0.75, 0.6, 0.85, 0.7]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1720684588.7542427,0.7129900455474854,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.69,False,"{'accuracy': [0.8, 0.6, 0.7, 0.75, 0.6]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1720684588.8421621,0.08743762969970703,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.56,False,"{'accuracy': [0.45, 0.75, 0.5, 0.4, 0.7]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1720684589.802198,0.9588117599487305,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.69,False,"{'accuracy': [0.65, 0.9, 0.65, 0.6, 0.65]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1720684589.8281274,0.024783849716186523,"Pipeline(steps=[('learner', SVC())])",True,0.45,False,"{'accuracy': [0.45, 0.4, 0.35, 0.55, 0.5]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1720684589.853272,0.023787260055541992,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.54,False,"{'accuracy': [0.55, 0.55, 0.55, 0.5, 0.55]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1720684589.8776643,0.023261070251464844,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.63,False,"{'accuracy': [0.55, 0.65, 0.75, 0.5, 0.7]}",ok,,,,,,sklearn.svm._classes.SVC,
