,time,runtime,pipeline,default_hp,accuracy,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1720630193.2748976,0.1799027919769287,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.59,True,"{'accuracy': [0.55, 0.6, 0.65, 0.6, 0.55]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1720630193.5870473,0.3113276958465576,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.61,True,"{'accuracy': [0.5, 0.65, 0.65, 0.55, 0.7]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1720630193.9407218,0.3524777889251709,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.65,True,"{'accuracy': [0.5, 0.75, 0.6, 0.75, 0.65]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1720630193.949206,0.007929086685180664,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.64,False,"{'accuracy': [0.6, 0.6, 0.7, 0.75, 0.55]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1720630193.9973125,0.04756355285644531,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.67,True,"{'accuracy': [0.9, 0.5, 0.7, 0.65, 0.6]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1720630194.0027628,0.005120277404785156,"Pipeline(steps=[('learner', GaussianNB())])",True,0.45,False,"{'accuracy': [0.4, 0.45, 0.35, 0.55, 0.5]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1720630194.0203655,0.01725602149963379,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.69,True,"{'accuracy': [0.65, 0.8, 0.7, 0.6, 0.7]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1720630194.5069697,0.48601651191711426,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.58,False,"{'accuracy': [0.75, 0.5, 0.45, 0.7, 0.5]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1720630194.608109,0.1006312370300293,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.45,False,"{'accuracy': [0.4, 0.45, 0.5, 0.45, 0.45]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1720630194.9652693,0.35590028762817383,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.5,False,"{'accuracy': [0.6, 0.4, 0.55, 0.45, 0.5]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1720630194.9870567,0.020605802536010742,"Pipeline(steps=[('learner', SVC())])",True,0.54,False,"{'accuracy': [0.4, 0.7, 0.5, 0.55, 0.55]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1720630195.0079057,0.01960468292236328,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.47,False,"{'accuracy': [0.5, 0.4, 0.5, 0.45, 0.5]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1720630195.0287378,0.019613027572631836,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.6,False,"{'accuracy': [0.55, 0.75, 0.7, 0.55, 0.45]}",ok,,,,,,sklearn.svm._classes.SVC,
13,1720630195.363019,0.3317108154296875,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.51,False,"{'accuracy': [0.5, 0.35, 0.55, 0.55, 0.6]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
14,1720630195.366505,0.002627134323120117,"Pipeline(steps=[('learner', MultinomialNB())])",True,,False,,exception,"Traceback (most recent call last):
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/commons.py"", line 168, in evaluate
    scores, evaluation_report = self.evaluation_fun(pl, self.X, self.y, [self.scoring] + self.side_scores)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 95, in __call__
    scores = self.evaluate_splits(
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 121, in evaluate_splits
    split_results = self.evaluate_split(
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/naiveautoml/evaluators.py"", line 142, in evaluate_split
    pl_copy.fit(X_train, y_train)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/pipeline.py"", line 475, in fit
    self._final_estimator.fit(Xt, y, **last_step_params[""fit""])
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/naive_bayes.py"", line 759, in fit
    self._count(X, Y)
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/naive_bayes.py"", line 881, in _count
    check_non_negative(X, ""MultinomialNB (input X)"")
  File ""/home/till/PycharmProjects/watchplant_classification/venv/lib/python3.10/site-packages/sklearn/utils/validation.py"", line 1572, in check_non_negative
    raise ValueError(""Negative values in data passed to %s"" % whom)
ValueError: Negative values in data passed to MultinomialNB (input X)
",,,,,sklearn.naive_bayes.MultinomialNB,
