,time,runtime,pipeline,default_hp,roc_auc,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1720632155.7239296,0.18985533714294434,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.8955,True,"{'roc_auc': [0.9166666666666667, 0.9551282051282051, 0.8846153846153847, 0.9038461538461539, 0.8173076923076923]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1720632156.0977182,0.37296533584594727,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.9378,True,"{'roc_auc': [0.9102564102564102, 0.9391025641025641, 0.9358974358974359, 0.967948717948718, 0.9358974358974359]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1720632156.6124642,0.513554573059082,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.8885,False,"{'roc_auc': [0.8333333333333333, 0.9166666666666667, 0.8333333333333334, 0.9358974358974359, 0.9230769230769231]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1720632156.6233141,0.01036977767944336,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.834,False,"{'roc_auc': [0.8910256410256411, 0.8717948717948718, 0.7467948717948718, 0.7435897435897436, 0.9166666666666666]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1720632156.6869752,0.06306147575378418,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.825,False,"{'roc_auc': [0.9230769230769231, 0.8012820512820513, 0.7660256410256411, 0.8333333333333333, 0.8012820512820513]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1720632156.6942716,0.007061958312988281,"Pipeline(steps=[('learner', GaussianNB())])",True,0.7256,False,"{'roc_auc': [0.7564102564102564, 0.7467948717948718, 0.6762820512820513, 0.7243589743589743, 0.7243589743589743]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1720632156.709532,0.014918804168701172,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.7897,False,"{'roc_auc': [0.7403846153846154, 0.8044871794871795, 0.8012820512820513, 0.7628205128205128, 0.8397435897435896]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1720632157.3276892,0.6177527904510498,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.709,False,"{'roc_auc': [0.7115384615384616, 0.7243589743589743, 0.5448717948717949, 0.6858974358974359, 0.8782051282051282]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1720632157.3889294,0.06072711944580078,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.6321,False,"{'roc_auc': [0.5128205128205128, 0.5576923076923077, 0.8012820512820512, 0.47435897435897434, 0.8141025641025641]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1720632160.8867524,3.4966418743133545,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.6154,False,"{'roc_auc': [0.4423076923076923, 0.6666666666666667, 0.6217948717948718, 0.6282051282051283, 0.7179487179487178]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1720632160.9130387,0.025119304656982422,"Pipeline(steps=[('learner', SVC())])",True,0.5654,False,"{'roc_auc': [0.532051282051282, 0.5897435897435898, 0.5192307692307693, 0.6602564102564104, 0.5256410256410255]}",ok,,,,,,sklearn.svm._classes.SVC,
