,time,runtime,pipeline,default_hp,roc_auc,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1723633942.9324129,0.3323791027069092,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.9232,True,"{'roc_auc': [0.9393939393939394, 0.8787878787878787, 0.9191919191919192, 0.9494949494949495, 0.9292929292929294]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1723633943.281294,0.34797215461730957,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.898,False,"{'roc_auc': [0.9191919191919191, 0.8282828282828283, 0.9343434343434344, 0.9494949494949495, 0.8585858585858587]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1723633945.55169,2.2692110538482666,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.8545,False,"{'roc_auc': [0.9191919191919191, 0.9292929292929293, 0.8282828282828283, 0.6262626262626263, 0.9696969696969697]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1723633945.566921,0.014447927474975586,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.8111,False,"{'roc_auc': [0.803030303030303, 0.7222222222222223, 0.7575757575757576, 0.8888888888888887, 0.8838383838383839]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1723633945.658653,0.09114789962768555,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.7263,False,"{'roc_auc': [0.6868686868686869, 0.696969696969697, 0.696969696969697, 0.8434343434343434, 0.7070707070707071]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1723633945.6692271,0.010222196578979492,"Pipeline(steps=[('learner', GaussianNB())])",True,0.6192,False,"{'roc_auc': [0.5959595959595959, 0.48484848484848486, 0.6818181818181818, 0.5555555555555556, 0.7777777777777778]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1723633951.805102,6.135455131530762,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.6152,False,"{'roc_auc': [0.6111111111111112, 0.6313131313131313, 0.6262626262626263, 0.7424242424242423, 0.46464646464646464]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1723633954.825776,3.020059823989868,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.7758,False,"{'roc_auc': [0.787878787878788, 0.7474747474747475, 0.6060606060606061, 1.0, 0.7373737373737375]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1723633955.244308,0.4180779457092285,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.602,False,"{'roc_auc': [0.505050505050505, 0.5454545454545454, 0.7171717171717171, 0.6464646464646464, 0.595959595959596]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1723633957.857162,2.611804962158203,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.6303,False,"{'roc_auc': [0.7474747474747474, 0.6060606060606061, 0.6363636363636365, 0.696969696969697, 0.4646464646464647]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1723633959.057469,1.1989550590515137,"Pipeline(steps=[('learner', SVC())])",True,0.5293,False,"{'roc_auc': [0.6262626262626262, 0.4444444444444445, 0.5353535353535355, 0.6767676767676767, 0.36363636363636365]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1723633960.108992,1.049670696258545,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.4141,False,"{'roc_auc': [0.6262626262626262, 0.43434343434343436, 0.36363636363636365, 0.23232323232323232, 0.41414141414141414]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1723633961.170631,1.059715747833252,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.6545,False,"{'roc_auc': [0.6464646464646465, 0.5252525252525252, 0.8484848484848485, 0.8282828282828283, 0.42424242424242425]}",ok,,,,,,sklearn.svm._classes.SVC,
13,1723633962.759878,1.587421178817749,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.5545,False,"{'roc_auc': [0.6666666666666667, 0.5101010101010102, 0.5, 0.3888888888888889, 0.7070707070707071]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
14,1723633962.7658398,0.005449056625366211,"Pipeline(steps=[('learner', MultinomialNB())])",True,,False,,exception,"Traceback (most recent call last):
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/commons.py"", line 168, in evaluate
    scores, evaluation_report = self.evaluation_fun(pl, self.X, self.y, [self.scoring] + self.side_scores)
                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 95, in __call__
    scores = self.evaluate_splits(
             ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 121, in evaluate_splits
    split_results = self.evaluate_split(
                    ^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/naiveautoml/evaluators.py"", line 142, in evaluate_split
    pl_copy.fit(X_train, y_train)
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/pipeline.py"", line 475, in fit
    self._final_estimator.fit(Xt, y, **last_step_params[""fit""])
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/base.py"", line 1351, in wrapper
    return fit_method(estimator, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/naive_bayes.py"", line 759, in fit
    self._count(X, Y)
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/naive_bayes.py"", line 881, in _count
    check_non_negative(X, ""MultinomialNB (input X)"")
  File ""/Users/tillaust/PycharmProjects/watchplant_classification/venv/lib/python3.11/site-packages/sklearn/utils/validation.py"", line 1572, in check_non_negative
    raise ValueError(""Negative values in data passed to %s"" % whom)
ValueError: Negative values in data passed to MultinomialNB (input X)
",,,,,sklearn.naive_bayes.MultinomialNB,
15,1723633962.767859,0.0015399456024169922,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.MinMaxScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
16,1723633963.0412118,0.27239990234375,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', ExtraTreesClassifier())])",True,0.8343,False,"{'roc_auc': [0.9696969696969697, 0.8535353535353536, 0.8787878787878788, 0.7121212121212122, 0.7575757575757576]}",ok,,sklearn.preprocessing._data.Normalizer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
17,1723633963.042848,0.0011539459228515625,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.PowerTransformer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
18,1723633963.044223,0.0009751319885253906,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.QuantileTransformer,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
19,1723633963.045482,0.0009438991546630859,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.RobustScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
20,1723633963.046605,0.0008792877197265625,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,sklearn.preprocessing._data.StandardScaler,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
21,1723633963.2654269,0.21854114532470703,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', ExtraTreesClassifier())])",True,0.8323,False,"{'roc_auc': [0.8282828282828283, 0.8484848484848485, 0.7676767676767677, 0.8383838383838385, 0.8787878787878788]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
22,1723634398.21342,434.9473237991333,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', ExtraTreesClassifier())])",True,0.4182,False,"{'roc_auc': [0.25757575757575757, 0.43939393939393945, 0.4494949494949495, 0.5959595959595959, 0.3484848484848485]}",ok,,,,sklearn.decomposition._fastica.FastICA,,sklearn.ensemble._forest.ExtraTreesClassifier,
23,1723634399.964918,1.7265472412109375,"Pipeline(steps=[('feature-pre-processor', FeatureAgglomeration()),
                ('learner', ExtraTreesClassifier())])",True,0.504,False,"{'roc_auc': [0.3585858585858586, 0.7171717171717171, 0.505050505050505, 0.6666666666666667, 0.27272727272727276]}",ok,,,,sklearn.cluster._agglomerative.FeatureAgglomeration,,sklearn.ensemble._forest.ExtraTreesClassifier,
24,1723634399.967573,0.001413106918334961,"Pipeline(steps=[('feature-pre-processor', KernelPCA()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.decomposition._kernel_pca.KernelPCA,,sklearn.ensemble._forest.ExtraTreesClassifier,
25,1723634399.9691179,0.001065969467163086,"Pipeline(steps=[('feature-pre-processor', RBFSampler()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.kernel_approximation.RBFSampler,,sklearn.ensemble._forest.ExtraTreesClassifier,
26,1723634399.9709408,0.0011260509490966797,"Pipeline(steps=[('feature-pre-processor', Nystroem()),
                ('learner', ExtraTreesClassifier())])",True,,False,,avoided,,,,sklearn.kernel_approximation.Nystroem,,sklearn.ensemble._forest.ExtraTreesClassifier,
27,1723634402.001056,2.02970814704895,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', ExtraTreesClassifier())])",True,0.7545,False,"{'roc_auc': [0.803030303030303, 0.6616161616161615, 0.6666666666666667, 0.8080808080808081, 0.8333333333333333]}",ok,,,,sklearn.decomposition._pca.PCA,,sklearn.ensemble._forest.ExtraTreesClassifier,
28,1723634408.224855,6.22309136390686,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', ExtraTreesClassifier())])",True,0.8848,False,"{'roc_auc': [0.8282828282828283, 0.8787878787878788, 0.9494949494949495, 0.9242424242424242, 0.8434343434343434]}",ok,,,,sklearn.preprocessing._polynomial.PolynomialFeatures,,sklearn.ensemble._forest.ExtraTreesClassifier,
29,1723634408.399051,0.173353910446167,"Pipeline(steps=[('feature-pre-processor', SelectPercentile()),
                ('learner', ExtraTreesClassifier())])",True,0.8667,False,"{'roc_auc': [0.888888888888889, 0.893939393939394, 0.8282828282828283, 0.9444444444444444, 0.7777777777777778]}",ok,,,,sklearn.feature_selection._univariate_selection.SelectPercentile,,sklearn.ensemble._forest.ExtraTreesClassifier,
30,1723634408.5600178,0.16040396690368652,"Pipeline(steps=[('feature-pre-processor', GenericUnivariateSelect()),
                ('learner', ExtraTreesClassifier())])",True,0.6939,False,"{'roc_auc': [0.595959595959596, 0.6515151515151515, 0.9595959595959597, 0.5858585858585859, 0.6767676767676767]}",ok,,,,sklearn.feature_selection._univariate_selection.GenericUnivariateSelect,,sklearn.ensemble._forest.ExtraTreesClassifier,
31,1723634408.5659788,3.6424498558044434,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(max_features=0.6997954478138174,
                                      min_samples_leaf=10, min_samples_split=18,
                                      n_estimators=512, warm_start=True))])",False,0.8889,True,"{'roc_auc': [0.898989898989899, 0.8686868686868687, 0.9595959595959596, 0.898989898989899, 0.8181818181818182]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'gini', 'max_depth': 'None', 'max_features': 0.6997954478138174, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 18, 'min_weight_fraction_leaf': 0.0}"
32,1723634412.21023,2.240694046020508,"Pipeline(steps=[('learner',
                 ExtraTreesClassifier(criterion='entropy',
                                      max_features=0.3026142262215372,
                                      min_samples_leaf=8, min_samples_split=6,
                                      n_estimators=512, warm_start=True))])",False,0.8667,True,"{'roc_auc': [0.8484848484848485, 0.7777777777777777, 0.7979797979797979, 0.9191919191919191, 0.9898989898989898]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,"{'bootstrap': 'False', 'criterion': 'entropy', 'max_depth': 'None', 'max_features': 0.3026142262215372, 'max_leaf_nodes': 'None', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 8, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0}"
