,time,runtime,pipeline,default_hp,roc_auc,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
0,1720685267.5829976,0.18391799926757812,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",True,0.795,True,"{'roc_auc': [0.92, 0.8699999999999999, 0.705, 0.78, 0.7]}",ok,,,,,,sklearn.ensemble._forest.ExtraTreesClassifier,
1,1720685267.9003565,0.3164865970611572,"Pipeline(steps=[('learner', RandomForestClassifier())])",True,0.789,False,"{'roc_auc': [0.76, 0.645, 0.8049999999999999, 0.8999999999999999, 0.835]}",ok,,,,,,sklearn.ensemble._forest.RandomForestClassifier,
2,1720685268.2805667,0.3790919780731201,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",True,0.748,False,"{'roc_auc': [0.62, 0.9299999999999999, 0.77, 0.83, 0.5900000000000001]}",ok,,,,,,sklearn.ensemble.HistGradientBoostingClassifier,
3,1720685268.291062,0.010030984878540039,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.592,False,"{'roc_auc': [0.3899999999999999, 0.655, 0.695, 0.61, 0.6100000000000001]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
4,1720685268.3422337,0.050572872161865234,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",True,0.63,False,"{'roc_auc': [0.75, 0.6000000000000001, 0.5499999999999999, 0.55, 0.7]}",ok,,,,,,sklearn.tree._classes.DecisionTreeClassifier,
5,1720685268.3495262,0.007039546966552734,"Pipeline(steps=[('learner', GaussianNB())])",True,0.718,False,"{'roc_auc': [0.8500000000000001, 0.7, 0.73, 0.66, 0.65]}",ok,,,,,,sklearn.naive_bayes.GaussianNB,
6,1720685268.365672,0.015758037567138672,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.719,False,"{'roc_auc': [0.7949999999999999, 0.82, 0.6699999999999999, 0.5700000000000001, 0.74]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
7,1720685269.9805477,1.6144213676452637,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.638,False,"{'roc_auc': [0.7200000000000001, 0.61, 0.76, 0.5599999999999999, 0.54]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
8,1720685270.0492597,0.06819486618041992,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.482,False,"{'roc_auc': [0.36, 0.44999999999999996, 0.36000000000000004, 0.45999999999999996, 0.78]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
9,1720685270.5283113,0.47788238525390625,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",True,0.476,False,"{'roc_auc': [0.39, 0.47, 0.61, 0.51, 0.4]}",ok,,,,,,sklearn.svm._classes.SVC,
10,1720685270.5519373,0.022470712661743164,"Pipeline(steps=[('learner', SVC())])",True,0.578,False,"{'roc_auc': [0.55, 0.8200000000000001, 0.63, 0.37, 0.52]}",ok,,,,,,sklearn.svm._classes.SVC,
11,1720685270.5747268,0.021525859832763672,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",True,0.59,False,"{'roc_auc': [0.64, 0.64, 0.63, 0.44, 0.6]}",ok,,,,,,sklearn.svm._classes.SVC,
12,1720685270.597367,0.021366119384765625,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",True,0.6,False,"{'roc_auc': [0.62, 0.79, 0.7200000000000001, 0.37, 0.5]}",ok,,,,,,sklearn.svm._classes.SVC,
13,1720685271.0568779,0.4581422805786133,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.392,False,"{'roc_auc': [0.29, 0.385, 0.38, 0.395, 0.51]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
